_time,_value,_field,location,date
2023-07-25 13:50:42+00:00,472.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 14:00:42+00:00,466.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 14:10:42+00:00,466.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 14:20:42+00:00,455.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 14:30:42+00:00,463.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 14:40:42+00:00,463.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 14:50:42+00:00,460.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 15:00:42+00:00,457.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 15:10:42+00:00,455.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 15:20:42+00:00,455.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 15:30:42+00:00,470.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 15:40:42+00:00,478.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 16:00:42+00:00,482.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 16:10:42+00:00,484.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 16:20:42+00:00,493.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 16:30:42+00:00,489.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 16:40:42+00:00,494.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 16:50:42+00:00,487.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 17:00:42+00:00,489.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 17:10:42+00:00,486.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 17:20:42+00:00,472.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 17:30:42+00:00,467.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 17:40:42+00:00,459.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 17:50:42+00:00,455.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 18:00:42+00:00,455.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 18:10:42+00:00,466.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 18:20:42+00:00,468.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 18:30:42+00:00,467.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 18:40:42+00:00,473.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 18:50:42+00:00,483.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 19:10:42+00:00,485.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 19:20:42+00:00,484.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 19:30:42+00:00,491.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 19:40:42+00:00,479.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 19:50:42+00:00,476.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 20:00:42+00:00,480.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 20:10:42+00:00,465.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 20:20:42+00:00,461.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 20:30:42+00:00,464.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 20:40:42+00:00,458.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 20:50:42+00:00,452.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 21:00:42+00:00,458.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 21:10:42+00:00,458.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 21:20:42+00:00,455.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 21:30:42+00:00,453.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 21:40:42+00:00,451.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 21:50:42+00:00,449.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 22:00:42+00:00,439.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 22:10:42+00:00,440.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 22:20:42+00:00,439.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 22:30:42+00:00,440.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 22:40:42+00:00,446.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 22:50:42+00:00,442.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 23:00:42+00:00,441.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 23:10:43+00:00,446.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 23:20:43+00:00,441.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 23:30:43+00:00,444.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 23:40:43+00:00,439.0,co2,am3019-testqc2090,2023-07-25
2023-07-25 23:50:43+00:00,439.0,co2,am3019-testqc2090,2023-07-25
2023-07-26 00:00:43+00:00,435.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 00:10:43+00:00,437.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 00:30:43+00:00,437.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 00:40:43+00:00,439.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 00:50:43+00:00,433.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 01:00:43+00:00,430.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 01:10:43+00:00,438.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 01:30:43+00:00,431.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 01:40:43+00:00,438.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 01:50:43+00:00,443.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 02:00:43+00:00,442.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 02:10:43+00:00,436.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 02:20:43+00:00,437.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 02:30:43+00:00,427.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 02:40:43+00:00,431.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 02:50:43+00:00,433.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 03:00:43+00:00,424.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 03:10:43+00:00,437.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 03:20:43+00:00,432.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 03:30:43+00:00,433.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 03:40:43+00:00,437.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 03:50:43+00:00,441.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 04:00:43+00:00,428.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 04:10:43+00:00,439.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 04:20:43+00:00,433.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 04:30:43+00:00,428.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 04:40:43+00:00,434.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 04:50:43+00:00,436.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 05:00:43+00:00,425.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 05:10:43+00:00,437.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 05:20:43+00:00,425.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 05:30:43+00:00,425.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 05:40:43+00:00,440.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 05:50:43+00:00,437.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 06:00:43+00:00,421.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 06:10:43+00:00,431.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 06:20:43+00:00,436.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 06:30:43+00:00,425.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 06:40:43+00:00,433.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 06:50:43+00:00,438.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 07:00:43+00:00,440.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 07:10:43+00:00,440.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 07:20:43+00:00,437.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 07:30:43+00:00,444.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 07:40:43+00:00,441.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 07:50:43+00:00,451.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 08:00:43+00:00,464.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 08:10:43+00:00,478.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 08:20:43+00:00,485.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 08:30:43+00:00,485.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 08:40:43+00:00,471.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 08:50:43+00:00,467.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 09:00:43+00:00,491.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 09:10:43+00:00,496.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 09:20:43+00:00,476.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 09:30:43+00:00,473.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 09:40:43+00:00,504.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 09:50:43+00:00,525.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 10:00:43+00:00,553.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 10:10:43+00:00,548.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 10:20:43+00:00,555.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 10:30:43+00:00,562.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 10:40:43+00:00,542.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 10:50:43+00:00,540.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 11:00:43+00:00,532.0,co2,am3019-testqc2090,2023-07-26
2023-07-26 11:10:43+00:00,534.0,co2,am3019-testqc2090,2023-07-26
