Date,Price_per_month
2018-01,40619.57333400007
2018-02,40364.94799999997
2018-03,39759.15
2018-04,38252.9
2018-05,36128.82919800004
2018-06,49712.034893999924
2018-07,59253.90665800008
2018-08,33103.937289665875
2018-09,49378.22813633409
2018-10,37342.431666666715
2018-11,36667.34604761902
2018-12,29655.6379257822
2019-01,36855.373693265414
2019-02,36348.41946666669
2019-03,39795.54320000001
2019-04,31776.07387955857
2019-05,30800.55492044143
2019-06,46888.21367619048
2019-07,61776.21758297619
2019-08,28049.197333333334
2019-09,44261.524581818194
2019-10,38451.55311818182
2019-11,37146.366033333325
2019-12,34286.398283706665
2020-01,40141.09260613334
2020-02,37021.36506666667
2020-03,30094.58435555555
2020-04,19999.13303703704
2020-05,22399.472612929072
2020-06,26646.147111111106
2020-07,43878.543600000005
2020-08,28673.284000000003
2020-09,35104.50546666668
2020-10,33542.486800000006
2020-11,35051.08702222222
2020-12,33472.86000000001
2021-01,38699.427111111116
2021-02,36676.05315806666
2021-03,38917.63489666668
2021-04,36224.254978933335
2021-05,36186.40330599999
2021-06,50751.249778673344
2021-07,55076.9772
2021-08,23143.897999999997
2021-09,48887.426215880005
2021-10,36075.51772959184
2021-11,35232.394554388746
2021-12,30358.04218030513
2022-01,33211.87028571429
2022-02,35737.617000000006
2022-03,42148.124866666665
2022-04,32679.224933333342
2022-05,37503.6272
2022-06,51023.93293333333
2022-07,52681.0512
2022-08,28700.401789743595
2022-09,43462.253505494504
2022-10,34014.06457142858
2022-11,30564.20065142606
2022-12,28484.044001022536
2023-01,30658.681347551406
2023-02,31148.00142442048
2023-03,35777.51857557952
2023-04,26665.50347826087
2023-05,32251.543188405794
2023-06,45872.28341880342
2023-07,51685.843376068384
2023-08,27392.897391174716
2023-09,43936.625510923186
2023-10,39581.34545454546
2023-11,33800.3392998306
2023-12,29619.393167701866
2024-01,30435.315584415584
2024-02,12451.27012987013
