Nombre;Fecha;Punto frontera vertido (kWh);Punto frontera entrada (kWh);Producción (kWh);Consumo (kWh);Ecológico (%);HSP (kWh/m2);Performance ratio (%)
Escuela de Ingeniería - UAB;30/4/2024;0;17378,5;1036,33;18414,83;5,63;3,73;99,36
Escuela de Ingeniería - UAB;29/4/2024;0;17294,2;135,51;17429,71;0,78;0,51;94,06
Escuela de Ingeniería - UAB;28/4/2024;0;13156,2;420,83;13577,03;3,1;1,47;102,51
Escuela de Ingeniería - UAB;27/4/2024;0;13572,84;697,45;14270,29;4,89;2,39;104,37
Escuela de Ingeniería - UAB;26/4/2024;0;15985,26;1821,52;17806,78;10,23;6,6;98,53
Escuela de Ingeniería - UAB;25/4/2024;0;17385,99;822,58;18208,57;4,52;2,96;99,18
Escuela de Ingeniería - UAB;24/4/2024;0;16517,3;2083,94;18601,24;11,2;7,58;98,17
Escuela de Ingeniería - UAB;23/4/2024;0;16963,6;1393,61;18357,21;7,59;4,89;101,74
Escuela de Ingeniería - UAB;22/4/2024;0;16293,7;1142,71;17436,41;6,55;4,22;96,71
Escuela de Ingeniería - UAB;21/4/2024;0;13414,7;1313,79;14728,49;8,92;5,06;92,82
Escuela de Ingeniería - UAB;20/4/2024;0;13554,4;1872,86;15427,26;12,14;7,13;93,77
Escuela de Ingeniería - UAB;19/4/2024;0;17385,9;1937,18;19323,08;10,03;7,43;93,13
Escuela de Ingeniería - UAB;18/4/2024;0;16247,9;1370,33;17618,23;7,78;4,9;99,83
Escuela de Ingeniería - UAB;17/4/2024;0;17324,1;1801,02;19125,12;9,42;6,89;93,38
Escuela de Ingeniería - UAB;16/4/2024;0;17337,5;1824,32;19161,82;9,52;6,97;93,54
Escuela de Ingeniería - UAB;15/4/2024;0;16971,6;1429,72;18401,32;7,77;5,64;90,49
Escuela de Ingeniería - UAB;14/4/2024;0;12741,3;1808,5;14549,8;12,43;7,22;89,41
Escuela de Ingeniería - UAB;13/4/2024;0;13060,9;1799,61;14860,51;12,11;7,12;90,23
Escuela de Ingeniería - UAB;12/4/2024;0;16346,4;1766,73;18113,13;9,75;6,95;90,75
Escuela de Ingeniería - UAB;11/4/2024;0;16741,7;1799,63;18541,33;9,71;6,95;92,44
Escuela de Ingeniería - UAB;10/4/2024;0;17986,3;1884,73;19871,03;9,48;7,25;92,88
Escuela de Ingeniería - UAB;9/4/2024;0;17865,4;1346,08;19211,48;7,01;4,89;98,32
Escuela de Ingeniería - UAB;8/4/2024;0;18052,2;991,01;19043,21;5,2;3,64;97,12
Escuela de Ingeniería - UAB;7/4/2024;0;13320,3;867,31;14187,61;6,11;3,1;100,06
Escuela de Ingeniería - UAB;6/4/2024;0;13438,8;1437,94;14876,74;9,67;5,31;96,67
Escuela de Ingeniería - UAB;5/4/2024;0;17740,3;1327,69;19067,99;6,96;5,03;94,31
Escuela de Ingeniería - UAB;4/4/2024;0;18247,6;1725,67;19973,27;8,64;6,75;91,34
Escuela de Ingeniería - UAB;3/4/2024;0;17694,8;1549,68;19244,48;8,05;6,02;91,94
Escuela de Ingeniería - UAB;2/4/2024;0;17808,2;1589,97;19398,17;8,2;5,79;97,99
Escuela de Ingeniería - UAB;1/4/2024;0;12534,6;1731,81;14266,41;12,14;6,5;95,08
Escuela de Ingeniería - UAB;31/3/2024;0;11841,1;519,76;12360,86;4,2;1,75;106,26
Escuela de Ingeniería - UAB;30/3/2024;0;12513,9;1169,11;13683,01;8,54;4,34;96,25
Escuela de Ingeniería - UAB;29/3/2024;0;12556;1322,38;13878,38;9,53;5,03;93,92
Escuela de Ingeniería - UAB;28/3/2024;0;12996,2;1636,93;14633,13;11,19;6,36;91,95
Escuela de Ingeniería - UAB;27/3/2024;0;11772,9;763,95;12536,85;6,09;4,34;62,84
Escuela de Ingeniería - UAB;26/3/2024;0;8786,87;1,06;8787,93;0,01;2,65;0,14
Escuela de Ingeniería - UAB;25/3/2024;0;11096,2;210,02;11306,22;1,86;0,77;97,79
